time,temp_c,humidity_pct,dewpoint_c,precipitation_mm,wind_speed_kmh,wind_dir_deg,soil_temp_c,soil_moisture_pct
2023-07-07T04:00,25.0,97,24.5,1.1,5.1,184,26.3,0.434
2023-07-07T05:00,24.9,97,24.5,1.9,5.8,180,27.2,0.431
2023-07-07T06:00,25.0,96,24.4,0.8,11.2,213,26.8,0.431
2023-07-07T07:00,25.4,93,24.1,0.5,8.4,220,26.6,0.426
2023-07-07T08:00,26.3,89,24.4,0.4,11.8,220,27.2,0.423
2023-07-07T09:00,25.7,95,24.7,6.4,7.2,198,27.4,0.439
2023-07-07T10:00,25.9,93,24.8,2.8,9.0,178,27.8,0.433
2023-07-07T11:00,25.7,95,24.8,2.9,7.8,146,27.8,0.431
2023-07-07T12:00,27.7,87,25.3,0.3,7.0,192,28.6,0.429
2023-07-07T13:00,29.9,78,25.5,0.1,6.6,209,29.9,0.424
2023-07-07T14:00,28.4,81,24.9,3.5,13.4,207,29.8,0.439
2023-07-07T15:00,26.6,89,24.7,5.5,6.8,212,28.7,0.434
2023-07-07T16:00,27.4,84,24.5,0.2,10.7,228,28.3,0.43
2023-07-07T17:00,27.2,85,24.5,0.1,10.0,221,28.2,0.425
2023-07-07T18:00,27.0,87,24.6,0.1,8.0,207,27.9,0.421
2023-07-07T19:00,26.3,90,24.6,0.7,7.1,195,27.3,0.424
2023-07-07T20:00,26.2,91,24.7,0.5,5.5,169,27.0,0.426
2023-07-07T21:00,25.4,94,24.5,4.8,4.3,180,26.7,0.435
2023-07-07T22:00,25.2,95,24.4,0.4,6.9,152,26.4,0.431
2023-07-07T23:00,24.9,96,24.2,0.3,8.7,163,26.1,0.43
2023-07-08T00:00,24.8,96,24.1,0.2,7.1,165,25.9,0.427
2023-07-08T01:00,24.6,95,23.8,0.4,6.9,174,25.8,0.428
2023-07-08T02:00,24.7,95,23.9,0.1,8.0,190,25.6,0.425
2023-07-08T03:00,24.8,94,23.7,0.2,9.5,209,25.5,0.423
2023-07-08T04:00,24.4,94,23.4,0.5,9.1,198,25.4,0.426
2023-07-08T05:00,24.1,96,23.5,0.2,12.0,187,26.9,0.419
2023-07-08T06:00,24.2,94,23.3,1.4,8.5,192,26.1,0.434
2023-07-08T07:00,23.9,96,23.2,9.4,4.8,167,25.8,0.439
2023-07-08T08:00,24.1,94,23.1,1.1,4.9,107,25.6,0.435
2023-07-08T09:00,26.1,88,23.9,0.2,5.7,162,26.5,0.43
2023-07-08T10:00,27.6,82,24.2,0.1,6.8,177,27.4,0.427
2023-07-08T11:00,29.4,76,24.6,0.1,7.9,183,28.6,0.423
2023-07-08T12:00,28.7,78,24.4,0.3,11.2,201,28.9,0.421
2023-07-08T13:00,29.4,75,24.4,1.3,15.1,208,29.7,0.432
2023-07-08T14:00,27.9,83,24.7,1.5,10.2,188,29.3,0.428
2023-07-08T15:00,27.7,83,24.6,1.0,9.9,190,29.0,0.431
2023-07-08T16:00,28.5,79,24.5,0.1,11.5,212,28.9,0.425
2023-07-08T17:00,27.0,87,24.6,0.3,4.3,138,28.0,0.424
2023-07-08T18:00,26.7,88,24.6,0.0,4.6,135,27.7,0.421
2023-07-08T19:00,24.8,93,23.7,2.4,9.9,190,27.0,0.434
2023-07-08T20:00,24.7,96,23.9,1.3,5.8,248,26.4,0.439
2023-07-08T21:00,24.5,95,23.7,4.8,4.9,216,26.0,0.432
2023-07-08T22:00,24.4,96,23.7,0.3,6.5,180,25.7,0.43
2023-07-08T23:00,24.1,97,23.6,1.9,8.4,190,25.5,0.435
